GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
finnMath Kotlin,com.github.ltennstedt.finnmath.kotlin.linear,BigIntegerMatricesKt,0,36,0,0,0,4,0,4,0,4
finnMath Kotlin,com.github.ltennstedt.finnmath.kotlin.linear,BigDecimalMatricesKt,0,36,0,0,0,4,0,4,0,4
finnMath Kotlin,com.github.ltennstedt.finnmath.kotlin.linear,BigIntegerVectorsKt,0,36,0,0,0,4,0,4,0,4
finnMath Kotlin,com.github.ltennstedt.finnmath.kotlin.linear,BigDecimalVectorsKt,0,36,0,0,0,4,0,4,0,4
finnMath Kotlin,com.github.ltennstedt.finnmath.kotlin.linear,SimpleComplexNumberMatricesKt,0,36,0,0,0,4,0,4,0,4
finnMath Kotlin,com.github.ltennstedt.finnmath.kotlin.linear,RealComplexNumberVectorsKt,0,36,0,0,0,4,0,4,0,4
finnMath Kotlin,com.github.ltennstedt.finnmath.kotlin.linear,RealComplexNumberMatricesKt,0,36,0,0,0,4,0,4,0,4
finnMath Kotlin,com.github.ltennstedt.finnmath.kotlin.linear,SimpleComplexNumberVectorsKt,0,36,0,0,0,4,0,4,0,4
finnMath Kotlin,com.github.ltennstedt.finnmath.kotlin.number,RealComplexNumberKt,0,47,0,0,0,5,0,5,0,5
finnMath Kotlin,com.github.ltennstedt.finnmath.kotlin.number,FractionsKt,0,46,0,0,0,5,0,5,0,5
finnMath Kotlin,com.github.ltennstedt.finnmath.kotlin.number,SimpleComplexNumbersKt,0,47,0,0,0,5,0,5,0,5
